ticker,name,universe,close,chg,pivot,ext,vol_ratio,close_pos,value20_eok,from_high,trend_n,trend_fail,setup,note,entry,stop,target,rr,stop_pct,rs_pct,flow_score,flow_txt,score
014620,성광벤드,KOSDAQ150,32250.00,1.10,36400.00,-11.40,0.87,0.61,76.50,-39.49,4,"50>150일선, 52주고가 75%↑",,,32250.00,,35475.00,,,48.24,50.00,-,51.20
120110,코오롱인더,KOSPI200,55500.00,1.83,62700.00,-11.48,0.78,0.48,117.93,-47.09,4,"50>150일선, 52주고가 75%↑",,,55500.00,,61050.00,,,49.08,50.00,-,51.10
083650,비에이치아이,KOSDAQ150,64800.00,2.21,70700.00,-8.35,0.79,0.25,286.86,-43.26,4,"50>150일선, 52주고가 75%↑",,"눌림 조건 충족, 손익비 1.9로 제외",64800.00,,71280.00,,,48.66,50.00,-,51.00
023530,롯데쇼핑,KOSPI200,115900.00,-3.26,122300.00,-5.23,0.89,0.15,186.47,-45.07,3,"종가>50일선, 50>150일선, 52주고가 75%↑",,,115900.00,,127490.00,,,59.99,50.00,-,50.40
086280,현대글로비스,KOSPI200,205000.00,1.99,216000.00,-5.09,0.78,0.60,324.99,-30.74,4,"50>150일선, 52주고가 75%↑",,,205000.00,,225500.00,,,46.56,50.00,-,50.20
004170,신세계,KOSPI200,355000.00,-2.20,441500.00,-19.59,1.03,0.23,344.08,-55.18,3,"종가>50일선, 50>150일선, 52주고가 75%↑",,,355000.00,,390500.00,,,56.21,50.00,-,49.80
357780,솔브레인,KOSDAQ150,329500.00,-1.05,354500.00,-7.05,0.30,0.40,79.04,-37.83,4,"50>150일선, 52주고가 75%↑",,,329500.00,,362450.00,,,52.02,50.00,-,49.70
030530,원익홀딩스,KOSDAQ150,25350.00,1.00,26750.00,-5.23,0.85,0.53,614.92,-49.90,2,"50>150일선, 150>200일선, 200일선 상승, 52주고가 75%↑",,,25350.00,,27885.00,,,72.15,50.00,-,49.50
007390,네이처셀,KOSDAQ150,24750.00,-0.40,28000.00,-11.61,0.22,0.23,65.77,-33.02,4,"200일선 상승, 52주고가 75%↑",,,24750.00,,27225.00,,,51.60,50.00,-,49.20
066970,엘앤에프,KOSPI200,111600.00,-0.45,147600.00,-24.39,0.99,0.75,845.24,-50.40,3,"50>150일선, 200일선 상승, 52주고가 75%↑",,,111600.00,,122760.00,,,54.95,50.00,-,49.20
323280,태성,KOSDAQ150,45500.00,1.45,53800.00,-15.43,0.32,0.52,124.28,-51.60,4,"50>150일선, 52주고가 75%↑",,,45500.00,,50050.00,,,50.34,50.00,-,49.20
